nuts_code,country,region,basic_needs,foundations_wellbeing,opportunity,gdp_per_capita_2022
IE05,IE,Southern,54.53,84.32,63.51,100.0
IE06,IE,Eastern and Midland,72.75,82.64,65.76,85.5098389982111
ITC1,IT,Piemonte,65.81,56.56,42.85,23.07692307692308
ITC2,IT,Valle d’Aosta/Vallée d’Aoste,60.1,68.0,41.22,31.663685152057244
ITC3,IT,Liguria,36.01,66.95,44.56,24.329159212880143
ITC4,IT,Lombardia,69.24,59.44,45.67,31.932021466905187
ITF1,IT,Abruzzo,65.56,63.44,41.19,16.63685152057245
ITF2,IT,Molise,80.1,64.62,37.17,14.579606440071556
ITF3,IT,Campania,67.0,62.12,35.19,11.449016100178891
ITF4,IT,Puglia,76.76,65.61,33.58,12.075134168157424
ITF5,IT,Basilicata,53.66,65.95,35.03,17.71019677996422
ITF6,IT,Calabria,71.92,64.86,34.64,9.838998211091234
ITG1,IT,Sicilia,37.4,62.66,35.53,10.37567084078712
ITG2,IT,Sardegna,70.23,67.51,39.94,13.864042933810376
ITH1,IT,Provincia Autonoma di Bolzano/Bozen,73.69,69.78,46.04,41.234347048300535
ITH2,IT,Provincia Autonoma di Trento,74.52,68.07,49.63,32.02146690518784
ITH3,IT,Veneto,71.6,61.29,44.72,25.670840787119857
ITH4,IT,Friuli-Venezia Giulia,70.08,66.46,45.55,24.59749552772809
ITH5,IT,Emilia-Romagna,72.51,64.55,49.64,28.08586762075134
ITI1,IT,Toscana,80.66,65.63,45.67,23.70304114490161
ITI2,IT,Umbria,82.51,66.61,45.74,17.71019677996422
ITI3,IT,Marche,79.86,64.52,44.33,20.03577817531306
ITI4,IT,Lazio,81.05,62.61,46.87,25.670840787119857
LT01,LT,Sostinės regionas,73.56,58.41,54.58,23.971377459749554
LT02,LT,Vidurio ir vakarų Lietuvos regionas,51.04,51.65,34.28,9.391771019677996
LU00,LU,Luxembourg,79.2,70.05,53.08,98.56887298747765
LV00,LV,Latvija,73.63,65.82,58.82,10.822898032200358
MT00,MT,Malta,77.37,63.2,54.83,21.73524150268336
NL11,NL,Groningen,82.08,78.29,68.69,41.50268336314848
NL12,NL,Friesland (NL),79.93,77.78,59.55,27.101967799642217
NL13,NL,Drenthe,77.36,81.21,60.77,25.402504472271914
NL21,NL,Overijssel,76.84,80.21,65.25,32.73703041144902
NL22,NL,Gelderland,77.23,80.31,71.46,32.64758497316637
NL23,NL,Flevoland,73.68,80.88,63.54,27.54919499105545
NL31,NL,Utrecht,68.86,80.22,78.42,51.43112701252236
NL32,NL,Noord-Holland,67.81,79.18,75.39,54.56171735241503
NL33,NL,Zuid-Holland,67.46,79.47,71.92,39.44543828264759
NL34,NL,Zeeland,69.88,83.28,62.17,33.4525939177102
NL41,NL,Noord-Brabant,78.74,81.3,66.14,41.50268336314848
NL42,NL,Limburg (NL),76.61,81.9,65.7,35.509838998211094
PL21,PL,Małopolskie,75.63,46.68,42.57,6.171735241502684
PL22,PL,Śląskie,67.16,45.54,41.19,8.676207513416816
PL41,PL,Wielkopolskie,60.47,51.28,40.77,8.765652951699463
PL42,PL,Zachodniopomorskie,66.71,53.86,38.06,5.098389982110913
PL43,PL,Lubuskie,68.7,54.17,37.14,5.098389982110913
PL51,PL,Dolnośląskie,70.4,54.71,34.5,9.749552772808586
PL52,PL,Opolskie,67.96,50.93,28.48,4.651162790697675
PL61,PL,Kujawsko-pomorskie,57.46,52.83,37.9,5.098389982110913
PL62,PL,Warmińsko-mazurskie,62.19,54.43,36.98,3.1305903398926653
PL63,PL,Pomorskie,67.95,56.56,42.72,7.8711985688729875
PL71,PL,Łódzkie,76.81,39.85,32.36,6.976744186046512
PL72,PL,Świętokrzyskie,82.7,42.0,27.24,3.2200357781753133
PL81,PL,Lubelskie,78.01,49.26,35.12,2.9516994633273703
PL82,PL,Podkarpackie,79.58,47.21,33.83,2.9516994633273703
PL84,PL,Podlaskie,78.73,49.07,35.85,3.8461538461538463
PL91,PL,Warszawski stołeczny,75.29,46.68,48.77,23.881932021466906
PL92,PL,Mazowiecki regionalny,73.78,49.31,37.88,6.618962432915922
PT11,PT,Norte,67.6,72.2,59.24,10.37567084078712
PT15,PT,Algarve,87.14,75.37,53.57,16.36851520572451
PT16,PT,Centro (PT),56.69,72.74,58.33,10.465116279069768
PT17,PT,Área Metropolitana de Lisboa,73.01,73.38,63.35,19.677996422182467
PT18,PT,Alentejo,66.6,74.37,51.98,11.80679785330948
PT20,PT,Região Autónoma dos Açores,51.54,66.7,48.24,11.270125223613595
PT30,PT,Região Autónoma da Madeira,45.88,72.43,51.36,13.595706618962431
RO11,RO,Nord-Vest,54.13,30.65,34.51,4.740608228980322
RO12,RO,Centru,57.89,32.98,27.61,5.008944543828265
RO21,RO,Nord-Est,50.21,28.18,23.94,0.5366726296958855
RO22,RO,Sud-Est,56.18,30.67,25.43,3.041144901610018
RO31,RO,Sud-Muntenia,41.19,25.6,25.51,2.5044722719141324
RO32,RO,Bucureşti-Ilfov,63.3,33.49,45.95,23.881932021466906
RO41,RO,Sud-Vest Oltenia,45.02,28.19,24.46,2.5044722719141324
RO42,RO,Vest,63.18,29.31,29.71,6.261180679785331
SE11,SE,Stockholm,85.53,85.09,83.27,56.61896243291592
SE12,SE,Östra Mellansverige,83.07,87.16,79.94,33.810375670840784
SE21,SE,Småland med öarna,78.09,86.39,73.27,33.631484794275494
SE22,SE,Sydsverige,80.17,82.09,76.0,33.09481216457961
SE23,SE,Västsverige,80.86,84.21,77.69,38.7298747763864
SE31,SE,Norra Mellansverige,83.65,85.98,70.09,32.02146690518784
SE32,SE,Mellersta Norrland,86.76,85.14,71.75,36.04651162790697
SE33,SE,Övre Norrland,83.29,85.27,76.93,44.00715563506261
SI03,SI,Vzhodna Slovenija,78.29,63.78,51.97,11.985688729874775
SI04,SI,Zahodna Slovenija,60.07,71.11,63.82,21.64579606440072
SK01,SK,Bratislavský kraj,87.09,58.08,44.26,29.159212880143112
SK02,SK,Západné Slovensko,60.63,50.43,26.8,8.765652951699463
SK03,SK,Stredné Slovensko,63.1,49.91,25.14,7.513416815742397
SK04,SK,Východné Slovensko,51.75,50.14,30.96,5.456171735241503
