nuts_code,country,region,nutrition_medical_care,water_sanitation,safety,basic_education,info_comm,health,env_quality,trust_gov,freedom_choice,inclusive_society,adv_education,gdp_per_capita_2022
PL42,PL,Zachodniopomorskie,61.86,92.84,49.04,89.53,37.45,50.76,44.21,38.12,54.52,44.77,19.62,5.098389982110913
PL43,PL,Lubuskie,67.01,93.64,49.04,89.53,37.45,47.18,48.85,43.66,56.11,44.77,12.87,5.098389982110913
PL51,PL,Dolnośląskie,53.61,95.06,65.6,89.53,45.47,49.66,40.11,25.34,51.12,35.48,28.66,9.749552772808586
PL52,PL,Opolskie,58.76,80.4,65.6,89.53,45.47,51.17,26.91,19.53,48.02,35.48,16.33,4.651162790697675
PL61,PL,Kujawsko-pomorskie,42.27,76.69,55.99,89.53,40.96,44.72,42.57,29.08,56.07,51.4,20.92,5.098389982110913
PL62,PL,Warmińsko-mazurskie,50.52,82.22,55.99,89.53,40.96,49.15,44.08,34.07,53.9,51.4,15.82,3.1305903398926653
PL63,PL,Pomorskie,57.73,93.1,55.99,89.53,40.96,49.4,51.74,39.23,56.85,51.4,26.76,7.8711985688729875
PL71,PL,Łódzkie,62.89,82.55,86.05,89.53,33.19,34.5,17.26,37.18,46.57,32.16,17.31,6.976744186046512
PL72,PL,Świętokrzyskie,73.2,89.31,86.05,89.53,33.19,36.66,21.57,20.7,46.22,32.16,14.87,3.2200357781753133
PL81,PL,Lubelskie,52.58,94.4,90.83,89.53,38.67,46.26,31.27,36.85,56.01,30.59,21.33,2.9516994633273703
PL82,PL,Podkarpackie,57.73,92.8,90.83,89.53,38.67,49.24,22.9,39.84,55.89,30.59,15.58,2.9516994633273703
PL84,PL,Podlaskie,51.55,98.17,90.83,89.53,38.67,54.01,24.89,36.5,56.35,30.59,23.74,3.8461538461538463
PL91,PL,Warszawski stołeczny,65.98,97.11,64.87,89.53,47.11,46.4,17.56,36.58,61.3,49.64,49.17,23.881932021466906
PL92,PL,Mazowiecki regionalny,62.89,95.73,64.87,89.53,47.11,44.92,25.61,39.92,56.6,49.64,13.93,6.618962432915922
PT11,PT,Norte,78.35,55.73,69.72,70.84,59.08,79.31,80.62,60.12,70.64,85.34,29.05,10.37567084078712
PT15,PT,Algarve,82.47,98.2,81.25,70.84,59.89,76.99,95.99,50.32,65.73,83.88,24.18,16.36851520572451
PT16,PT,Centro (PT),76.29,37.05,60.31,70.84,57.55,79.01,85.08,55.82,68.64,82.46,32.64,10.465116279069768
PT17,PT,Área Metropolitana de Lisboa,70.1,86.3,63.54,70.84,66.39,72.56,84.29,60.79,66.27,88.08,42.43,19.677996422182467
PT18,PT,Alentejo,80.41,44.7,77.95,70.84,57.76,79.05,91.9,53.18,62.21,82.98,20.69,11.80679785330948
PT20,PT,Região Autónoma dos Açores,75.26,20.71,69.08,70.84,53.27,58.77,86.25,55.84,53.12,90.81,12.19,11.270125223613595
PT30,PT,Região Autónoma da Madeira,64.95,10.11,82.49,70.84,61.34,74.86,83.58,55.38,62.82,86.07,16.16,13.595706618962431
RO11,RO,Nord-Vest,40.21,60.48,63.28,8.69,30.97,30.16,66.29,28.05,64.83,44.92,11.89,4.740608228980322
RO12,RO,Centru,36.08,52.6,91.5,8.69,28.01,41.88,68.24,26.19,47.26,43.36,5.96,5.008944543828265
RO21,RO,Nord-Est,41.24,50.39,59.85,8.69,16.45,39.22,63.48,26.32,59.17,16.23,7.41,0.5366726296958855
RO22,RO,Sud-Est,36.08,60.03,76.25,8.69,17.15,43.66,71.5,30.0,49.17,27.39,5.99,3.041144901610018
RO31,RO,Sud-Muntenia,49.48,27.38,48.82,8.69,12.55,33.26,63.69,26.39,53.17,31.08,4.83,2.5044722719141324
RO32,RO,Bucureşti-Ilfov,74.23,59.12,57.2,8.69,36.09,44.16,56.95,25.7,69.0,62.86,33.77,23.881932021466906
RO41,RO,Sud-Vest Oltenia,37.11,29.27,74.42,8.69,24.76,33.1,57.18,27.13,49.2,27.89,5.2,2.5044722719141324
RO42,RO,Vest,51.55,61.69,77.65,8.69,19.3,37.76,66.77,32.99,60.03,32.41,6.85,6.261180679785331
SE11,SE,Stockholm,84.54,100.0,73.11,77.76,88.74,92.95,81.33,83.75,72.86,94.35,82.83,56.61896243291592
SE12,SE,Östra Mellansverige,77.32,100.0,73.11,77.76,88.91,91.91,90.41,84.76,72.03,94.35,69.83,33.810375670840784
SE21,SE,Småland med öarna,74.23,100.0,62.33,77.76,86.36,93.98,87.86,83.85,71.03,88.67,52.37,33.631484794275494
SE22,SE,Sydsverige,80.41,100.0,62.33,77.76,88.61,92.2,70.71,76.23,72.11,88.67,67.75,33.09481216457961
SE23,SE,Västsverige,82.47,100.0,62.33,77.76,88.27,92.78,78.53,82.54,71.25,88.67,69.13,38.7298747763864
SE31,SE,Norra Mellansverige,79.38,100.0,72.73,77.76,85.13,89.31,92.07,75.39,65.49,95.02,48.51,32.02146690518784
SE32,SE,Mellersta Norrland,88.66,100.0,72.73,77.76,86.27,88.12,88.65,79.21,65.76,95.02,50.75,36.04651162790697
SE33,SE,Övre Norrland,78.35,100.0,72.73,77.76,83.37,90.83,89.44,80.08,66.03,95.02,68.24,44.00715563506261
SI03,SI,Vzhodna Slovenija,79.38,79.61,75.91,81.76,52.61,70.28,52.81,49.38,73.2,54.52,34.45,11.985688729874775
SI04,SI,Zahodna Slovenija,83.51,50.32,49.27,81.76,57.55,73.62,72.62,52.5,76.72,73.03,54.83,21.64579606440072
SK01,SK,Bratislavský kraj,79.38,96.3,85.99,52.49,63.42,60.93,55.78,32.09,65.02,29.53,55.47,29.159212880143112
SK02,SK,Západné Slovensko,64.95,79.24,40.94,52.49,43.13,54.44,52.06,23.8,51.12,19.33,18.33,8.765652951699463
SK03,SK,Stredné Slovensko,58.76,76.72,54.85,52.49,52.79,47.05,47.44,20.97,43.31,20.99,18.62,7.513416815742397
SK04,SK,Východné Slovensko,16.49,86.12,67.89,52.49,52.18,52.09,44.08,33.26,40.84,30.65,20.83,5.456171735241503
