nuts_code,country,region,nutrition_medical_care,water_sanitation,safety,basic_education,info_comm,health,env_quality,trust_gov,freedom_choice,inclusive_society,adv_education,gdp_per_capita_2022
DE22,DE,Niederbayern,68.04,96.61,74.18,73.12,53.7,80.92,85.21,66.23,63.93,69.3,13.62,33.36314847942755
DE23,DE,Oberpfalz,77.32,99.11,74.18,73.12,53.7,80.27,84.09,66.23,63.93,69.3,23.89,36.135957066189626
DE24,DE,Oberfranken,63.92,99.3,74.18,73.12,53.7,76.92,74.65,66.23,63.93,69.3,20.17,31.216457960644007
DE25,DE,Mittelfranken,68.04,99.68,74.18,73.12,53.7,78.06,76.94,66.23,61.76,69.3,28.81,37.74597495527728
DE26,DE,Unterfranken,65.98,98.0,74.18,73.12,53.7,81.17,72.27,66.23,63.93,69.3,24.05,33.631484794275494
DE27,DE,Schwaben,80.41,99.41,74.18,73.12,53.7,83.35,87.14,66.23,62.92,69.3,16.97,32.200357781753134
DE30,DE,Berlin,70.1,99.8,63.44,73.12,60.26,73.76,77.92,67.78,61.03,81.92,47.39,35.77817531305904
DE40,DE,Brandenburg,69.07,88.87,47.21,73.12,53.69,72.34,76.17,63.64,57.63,67.32,20.74,23.524150268336317
DE50,DE,Bremen,73.2,99.99,70.08,73.12,41.67,77.34,69.64,61.28,62.69,75.92,32.82,43.38103756708408
DE60,DE,Hamburg,67.01,99.3,33.8,73.12,56.97,74.08,78.08,69.0,64.64,72.98,36.17,61.53846153846154
DE71,DE,Darmstadt,71.13,99.34,88.12,73.12,57.45,77.47,80.75,71.68,60.72,72.56,27.61,44.09660107334526
DE72,DE,Gießen,62.89,99.16,88.12,73.12,57.45,75.02,85.12,71.68,61.79,72.56,31.24,27.101967799642217
DE73,DE,Kassel,75.26,99.49,88.12,73.12,57.45,76.07,85.81,71.68,61.79,72.56,15.78,28.89087656529517
DE80,DE,Mecklenburg-Vorpommern,79.38,99.55,51.34,73.12,57.12,75.27,79.06,66.66,56.52,68.52,18.56,21.82468694096601
DE91,DE,Braunschweig,55.67,97.31,74.87,73.12,56.58,75.71,82.92,64.77,61.3,73.4,35.59,38.7298747763864
DE92,DE,Hannover,74.23,96.95,74.87,73.12,56.58,75.68,78.21,64.77,62.07,73.4,25.4,31.216457960644007
DE93,DE,Lüneburg,57.73,94.99,74.87,73.12,56.58,76.0,76.61,64.77,61.98,73.4,16.05,21.73524150268336
DE94,DE,Weser-Ems,72.16,93.17,74.87,73.12,56.58,76.79,82.61,64.77,61.15,73.4,16.86,28.801431127012524
DEA1,DE,Düsseldorf,67.01,98.0,80.05,73.12,59.94,75.37,77.6,66.98,59.43,73.88,21.28,34.52593917710197
DEA2,DE,Köln,70.1,97.94,80.05,73.12,59.94,78.66,80.4,66.98,61.65,73.88,33.35,35.3309481216458
DEA3,DE,Münster,57.73,98.0,80.05,73.12,59.94,76.17,82.16,66.98,60.55,73.88,20.84,27.101967799642217
DEA4,DE,Detmold,73.2,98.0,80.05,73.12,59.94,78.61,84.75,66.98,61.52,73.88,18.05,31.305903398926656
DEA5,DE,Arnsberg,59.79,98.0,80.05,73.12,59.94,75.23,79.56,66.98,59.78,73.88,20.31,27.99642218246869
DEB1,DE,Koblenz,69.07,98.06,68.87,73.12,60.69,79.52,82.64,61.3,58.03,74.41,15.13,26.29695885509839
DEB2,DE,Trier,71.13,97.64,68.87,73.12,60.69,81.32,84.95,61.3,58.03,74.41,19.36,22.361359570661897
DEB3,DE,Rheinhessen-Pfalz,69.07,99.55,68.87,73.12,60.69,81.46,80.16,61.3,57.26,74.41,28.74,33.72093023255814
DEC0,DE,Saarland,68.04,97.66,55.3,73.12,54.56,76.54,82.11,67.06,64.49,73.99,21.89,27.45974955277281
DED2,DE,Dresden,77.32,97.71,52.1,73.12,55.62,74.92,74.07,60.36,60.25,64.43,33.7,25.491949910554563
DED4,DE,Chemnitz,76.29,95.95,52.1,73.12,55.62,74.97,86.99,60.36,60.25,64.43,15.7,22.003577817531305
DED5,DE,Leipzig,68.04,99.02,52.1,73.12,55.62,72.77,78.51,60.36,60.25,64.43,35.48,27.01252236135957
DEE0,DE,Sachsen-Anhalt,64.95,97.03,27.61,73.12,52.29,73.72,76.37,57.87,56.32,70.15,16.87,23.25581395348837
DEF0,DE,Schleswig-Holstein,69.07,96.42,54.24,73.12,55.49,77.62,82.06,73.63,59.6,71.46,19.97,26.74418604651163
DEG0,DE,Thüringen,68.04,96.24,60.21,73.12,55.16,73.83,83.97,66.21,63.96,69.72,20.74,22.450805008944545
DK01,DK,Hovedstaden,70.1,100.0,64.43,86.23,88.82,87.6,82.79,86.1,69.14,90.83,87.48,73.25581395348837
DK02,DK,Sjælland,63.92,99.5,51.03,86.23,89.09,82.95,84.79,86.64,61.27,81.84,40.11,28.17531305903399
DK03,DK,Syddanmark,65.98,98.8,55.3,86.23,87.46,89.21,82.94,84.01,66.29,88.55,44.18,40.69767441860465
