Country,NUTS code,RegionName,Infant mortality,Satisfaction with water quality,Uncollected sewage,"Sewage treatment, additional",Safety at night,Money Stolen,Assaulted/Mugged,Traffic deaths,Share of low-achieving 15 year olds in reading (level 1a or lower),Share of low-achieving 15 year olds in maths and science,Lower-secondary completion only,Early school leavers,Broadband at home,Digital skills above basic level,Online interaction with public authorities,Internet access,Freedom of media,Subjective health status,Standardised cancer death rate,Standardised heart disease death rate,Years of life lost due to air pollution,Index of positive emotions,Air pollution NO2,Air pollution Ozone (SOMO35),Air pollution pm2.5,Bathing water quality,Trust in the national government,Trust in the legal system,Trust in the police,Voiced opinion to public official,Female participation in regional assemblies,Institution quality index,Freedom over life choices,Job opportunities,Teenage pregnancy,"Young people not in education, employment or training (NEET)",Institutions corruption index (EQI),Institution impartiality index (EQI),Tolerance towards immigrants,Tolerance towards minorities,Tolerance towards  gay or lesbian people,Women treated with respect,Tertiary education attainment,Lifelong learning,Academic citations per 1000 persons ,gdp_per_capita_2022
BG,BG31,Severozapaden,7.1,66.0306897940673,13.1127775766185,56.1475430651106,64.3622379872478,4.394227264757305,2.7939282369246996,133,47.1028022237206,68.1376050592719,18.0,17.633333333333333,73.5,6.88100083802227,17.68,71.3241583374469,44.0175627535534,64.1739788946515,111.71,177.01,1595.3318613751399,69.6623155913902,14.35846708217514,3034.7109745487255,16.199397174191333,,26.2600283521294,24.7772311901905,63.7544444722586,17.2322518826939,23.75,-2.703,79.9328669627745,16.5234758644897,47.2837632776935,25.46666666666667,-2.563,-1.648,26.6337804339107,60.0404558153619,21.2276920991143,71.2115932752872,18.7,1.0,0.0733523535628307,8500.0
BG,BG32,Severen tsentralen,6.4,65.5591601980659,7.75059671752766,71.6234476328151,56.0130196960797,4.154488653631105,1.0187279086440952,103,47.1028022237206,68.1376050592719,15.4,9.933333333333334,82.67,7.73948760924219,22.13,74.0074140085302,31.5807315709875,64.1739788946515,107.45,161.38,1403.075471932285,60.9851013567494,16.074243605177916,3101.807327389512,14.803619698906582,,15.0062236136144,26.0452652117749,62.8175315812601,15.6173168736555,23.75,-1.392,64.9968035322445,14.1245776544787,28.6259541984733,13.733333333333334,-0.11,-0.1,28.0553982292973,59.5262231306132,13.9807549577006,65.6487953578562,26.4,1.7,0.261240757822832,8900.0
BG,BG33,Severoiztochen,5.8,53.1678007654706,2.87171881518565,89.3691568948365,60.3310685780761,6.455514045133597,1.7678964599080018,66,47.1028022237206,68.1376050592719,21.7,13.266666666666667,85.23,7.97915240033521,25.93,75.4172300115275,36.0381258544982,64.1739788946515,103.87,146.3,1400.292430547745,59.1748854534201,15.515332534993528,3242.947616661598,14.763624815576888,0.767441860465116,6.46632328157549,17.2301885366353,50.6910633869195,12.249867870181,23.75,-1.406,80.6411570341355,19.3669708444441,25.9991506629548,13.733333333333334,-1.049,-0.325,24.8495009452424,57.0389813943795,15.2481220755472,47.7794645966454,28.1,0.9,0.367247740894968,10300.0
BG,BG34,Yugoiztochen,9.6,56.7388843020041,4.07153767366649,83.2938370053522,67.4060961831902,9.026131577500394,2.3717536000677057,80,47.1028022237206,68.1376050592719,22.1,21.633333333333336,81.73,7.65148569376272,18.54,71.4975581771181,31.7501047580277,64.1739788946515,93.6,179.74,1258.0532692102126,56.9822406730902,15.779244825016532,3112.482381760869,13.760083257491825,1.0,20.4808216218862,28.1267397093513,72.3326348911133,23.9304373388749,23.75,-1.712,73.586024552293,22.7532491419355,63.7761327584804,19.400000000000002,-1.153,-0.948,34.0707797673719,50.8582311290873,11.7258236372204,65.4252243281895,21.7,1.9,0.248472850375933,11900.0
BG,BG41,Yugozapaden,3.1,72.3618855407084,3.87642686066285,74.180576083064,61.4471769057041,7.172961941503303,3.370131727316206,75,47.1028022237206,68.1376050592719,7.8,6.333333333333333,86.23,8.07277145935592,36.3,84.3317163163757,28.8546286443551,70.6637412842302,86.49,158.98,1435.1644383610428,69.8340747744075,21.384777856638735,2691.976190585305,15.048760774924139,,25.6594581639316,9.92984034078728,46.1407493934177,20.637906982344,23.75,-2.16,70.9344620380223,30.3026632209603,21.3345755211366,7.166666666666667,-1.806,-1.541,34.2701004768688,53.9660528510475,23.2534651270239,64.7145210222132,43.5,2.4,1.36075449588943,20800.0
BG,BG42,Yuzhen tsentralen,5.1,62.1830768076002,10.397535221416,40.1059745015597,75.8555186127617,5.189070086221193,1.719668250091999,61,47.1028022237206,68.1376050592719,19.6,12.299999999999999,85.53,8.00723811804142,25.16,70.0405308520391,34.4951914977116,70.6637412842302,100.09,157.09,1550.8939743226624,62.9564548149168,17.25378574670578,3371.2896426314005,15.903340635229076,,18.6952778236256,25.0927836212117,69.5102442893461,12.2069459633279,23.75,-2.694,61.6203515729715,35.2505034265,42.8871985758213,14.666666666666666,-1.481,-2.293,49.3458679990572,74.4476952451909,39.8097145093802,73.0406887724151,22.9,1.4,0.366006968724484,9300.0
CY,CY00,Kýpros,2.7,63.9463607433863,14.1044557823129,83.3624616132167,66.7454024832075,8.0280806064236,3.688349184554795,50,43.7078968955087,61.5503591174311,14.7,9.933333333333335,93.41,,57.25,89.2823952281586,56.3627701468085,77.1828760329781,53.71,38.08,535.8456571119611,68.1966078866908,23.0,6707.566666666666,14.0,0.933333333333333,26.8778995245557,40.6271305126952,53.2309453713302,21.2751604814092,14.2857142857143,-0.415,70.1404970571345,41.5380924779221,6.32248879956454,13.366666666666667,-0.686,-0.488,51.8133947182968,64.3045985269982,41.4177504443095,63.4314288632374,48.2,10.5,4.4590610601508,30400.0
CZ,CZ01,Praha,1.8,92.6099954132566,0.0,98.8253349899225,80.8676094259156,14.122394269366097,2.967967066062201,20,20.7404828027808,42.491039142665,1.5,1.9000000000000001,94.16,25.3665838092039,80.53,98.1676484602715,81.616178309203,72.5440503610533,69.01,45.3,806.8221556970739,72.6881960845063,18.5,4334.2,13.299999999999999,,47.6069158074837,52.4831017918528,85.9588014154987,16.5985243019593,30.7692307692308,0.527,91.5049046680656,74.9057178449715,3.73359026857762,4.366666666666667,-0.386,-0.057,83.4332334162885,78.2044326295199,77.7727010809053,80.6795456181776,50.9,16.7,11.6726939256601,59200.0
CZ,CZ02,Střední Čechy,1.5,82.7581524378728,0.0,93.4404173204609,79.5016296201915,11.622058304346098,4.579294488025596,63,20.7404828027808,42.491039142665,5.4,5.666666666666667,89.31,24.06,67.17,96.3500985194716,70.542896849795,69.317879124244,79.61,56.19,702.8767278347038,72.4098275039243,11.4,4530.400000000001,12.3,1.0,36.0108792106426,45.7554197235474,77.7911663691241,25.5256040568976,24.6153846153846,0.133,86.9139451332323,53.1186134302208,6.08025942440211,5.866666666666667,-0.273,0.018,63.1686477169176,63.5810220320414,71.2613546232676,78.0217491033007,24.8,6.9,0.810452498476096,22700.0
CZ,CZ03,Jihozápad,1.8,85.1532282937464,0.0,97.7227172606518,77.1653925696664,11.228257913113595,2.486624217324106,75,20.7404828027808,42.491039142665,5.7,7.933333333333334,92.22,24.8439502855223,65.41,94.7797521004905,70.3569830119506,71.4426940598671,76.32,56.09,505.4291130486124,73.0025745883033,10.571930150442903,4190.535106675901,10.185965075221452,0.777777777777778,30.3583188046725,45.6692865996184,80.6095026890228,28.1309221375516,21.0,0.175,87.344570978141,48.2985114713777,7.37737847412439,6.433333333333334,-0.337,-0.376,63.481119006776,61.2280719463663,61.7709631101155,78.0482258192596,21.7,7.5,2.17287133561866,21000.0
