nuts_code,country,region,spi,gdp_per_capita_2022,basic_needs,foundations_wellbeing,opportunity,nutrition_medical_care,water_sanitation,safety,basic_education,info_comm,health,env_quality,trust_gov,freedom_choice,inclusive_society,adv_education,cluster_spi_gdp
BE25,BE,Prov. West-Vlaanderen,71.63,33.45,80.55,75.7,59.51,71.13,100.0,72.11,76.77,71.63,79.34,75.17,71.11,67.71,80.85,27.09,prosperous
BE31,BE,Prov. Brabant Wallon,62.58,46.42,54.97,72.78,60.63,78.35,96.29,12.8,76.77,68.45,80.07,66.26,62.32,54.67,71.85,54.49,prosperous
BE32,BE,Prov. Hainaut,53.83,18.52,49.92,64.31,47.96,60.82,96.44,12.8,76.77,63.1,71.76,47.63,62.32,48.74,71.85,18.92,emerging
BE33,BE,Prov. Liège,59.11,22.72,52.83,71.66,53.75,75.26,91.23,12.8,76.77,63.17,77.21,69.95,63.05,52.77,71.85,31.86,stable
BE34,BE,Prov. Luxembourg (BE),56.32,17.89,47.88,69.81,52.42,80.41,67.45,12.8,76.77,64.84,77.19,61.17,62.32,53.99,71.85,27.48,emerging
BE35,BE,Prov. Namur,57.73,20.39,52.67,67.18,53.89,71.13,95.29,12.8,76.77,63.48,75.43,54.33,62.32,51.83,71.85,33.56,stable
BG31,BG,Severozapaden,28.84,0.0,50.75,21.59,18.83,26.8,56.15,75.72,3.63,13.64,26.26,61.83,20.82,46.18,16.7,3.65,vulnerable
BG32,BG,Severen tsentralen,31.95,0.36,62.38,21.25,19.8,34.02,71.62,88.35,3.63,12.74,23.8,65.39,23.93,35.99,14.17,9.87,vulnerable
BG33,BG,Severoiztochen,33.37,1.61,66.37,21.87,20.32,40.21,89.37,74.74,3.63,16.55,25.28,59.36,18.43,50.77,11.37,10.49,vulnerable
BG34,BG,Yugoiztochen,24.72,3.04,35.83,21.19,18.72,1.03,83.29,61.08,3.63,10.0,22.39,74.19,24.78,43.35,9.84,6.8,vulnerable
BG41,BG,Yugozapaden,38.91,11.0,67.79,27.26,27.65,68.04,74.18,61.45,3.63,23.06,37.58,64.77,18.68,59.77,16.65,24.0,vulnerable
BG42,BG,Yuzhen tsentralen,32.67,0.72,54.53,21.23,26.59,47.42,40.11,79.83,3.63,12.19,26.23,62.59,18.55,47.65,44.94,7.36,vulnerable
CY00,CY,Kýpros,52.82,19.59,70.1,50.25,40.23,72.16,83.36,56.13,16.57,52.82,74.77,70.06,32.14,51.16,39.37,39.35,emerging
CZ01,CZ,Praha,69.42,45.35,70.15,70.64,67.5,81.44,98.83,37.96,72.22,74.01,70.66,65.8,55.23,80.33,78.31,58.07,prosperous
CZ02,CZ,Střední Čechy,60.03,12.7,69.0,70.33,42.91,84.54,93.44,36.72,72.22,64.1,67.48,77.92,44.47,68.68,55.74,14.29,emerging
CZ03,CZ,Jihozápad,61.01,11.18,75.82,69.5,40.81,81.44,97.72,52.03,72.22,62.89,71.52,71.58,41.02,67.09,50.5,14.83,emerging
CZ04,CZ,Severozápad,56.46,7.87,74.66,65.76,33.56,68.04,94.78,63.0,72.22,59.33,62.75,69.12,40.74,60.42,43.79,5.76,emerging
CZ05,CZ,Severovýchod,62.3,10.91,77.32,68.13,43.99,78.35,91.7,63.24,72.22,63.34,67.43,69.68,42.89,67.69,61.4,15.34,emerging
CZ06,CZ,Jihovýchod,63.52,13.51,77.76,68.97,46.07,76.29,94.9,63.65,72.22,65.25,71.22,67.32,46.04,70.83,49.86,23.88,emerging
CZ07,CZ,Střední Morava,60.56,11.09,79.01,62.3,43.09,69.07,96.19,73.07,72.22,59.49,61.1,56.91,42.04,68.52,54.82,16.75,emerging
CZ08,CZ,Moravskoslezsko,56.62,10.55,71.04,59.28,41.56,76.29,93.15,47.61,72.22,66.23,58.02,42.82,41.02,69.84,45.85,18.1,emerging
DE11,DE,Stuttgart,65.37,43.65,71.34,69.65,55.71,69.07,99.4,49.81,73.12,51.35,79.98,76.09,68.42,64.02,71.55,26.26,prosperous
DE12,DE,Karlsruhe,67.35,37.03,71.08,71.0,60.26,68.04,99.74,49.81,73.12,51.35,79.2,82.6,68.42,63.84,71.55,40.06,prosperous
DE13,DE,Freiburg,65.66,31.22,68.53,72.35,56.62,63.92,95.7,49.81,73.12,51.35,81.2,86.42,68.42,64.42,71.55,28.54,stable
