nuts_code,country,region,spi,gdp_per_capita_2022,basic_needs,foundations_wellbeing,opportunity,nutrition_medical_care,water_sanitation,safety,basic_education,info_comm,health,env_quality,trust_gov,freedom_choice,inclusive_society,adv_education,cluster_spi_gdp
ITF1,IT,Abruzzo,56.15,16.64,65.56,63.44,41.19,76.29,50.82,71.01,63.42,52.37,72.99,65.87,38.58,37.73,76.01,21.17,emerging
ITF2,IT,Molise,59.21,14.58,80.1,64.62,37.17,75.26,95.02,71.01,63.42,51.08,72.07,73.18,30.08,34.57,76.01,18.54,emerging
ITF3,IT,Campania,53.77,11.45,67.0,62.12,35.19,73.2,57.37,71.01,63.42,49.94,67.04,69.03,33.81,27.8,76.01,15.4,emerging
ITF4,IT,Puglia,57.03,12.08,76.76,65.61,33.58,74.23,85.41,71.01,63.42,49.4,72.92,78.63,30.39,29.82,76.01,12.16,emerging
ITF5,IT,Basilicata,50.72,17.71,53.66,65.95,35.03,78.35,22.06,71.01,63.42,50.69,74.62,76.79,30.06,34.35,76.01,13.04,emerging
ITF6,IT,Calabria,55.85,9.84,71.92,64.86,34.64,59.79,86.17,71.01,63.42,49.31,73.49,74.94,33.69,28.14,76.01,13.79,emerging
ITG1,IT,Sicilia,44.41,10.38,37.4,62.66,35.53,64.95,10.51,49.65,63.42,48.76,71.76,67.97,34.57,35.09,74.82,11.49,vulnerable
ITG2,IT,Sardegna,58.35,13.86,70.23,67.51,39.94,78.35,85.43,49.65,63.42,51.71,73.39,83.62,38.81,38.7,74.82,17.47,emerging
ITH1,IT,Provincia Autonoma di Bolzano/Bozen,62.53,41.23,73.69,69.78,46.04,80.41,97.06,48.07,63.42,55.1,79.99,82.51,46.9,52.84,73.15,19.99,prosperous
ITH2,IT,Provincia Autonoma di Trento,63.62,32.02,74.52,68.07,49.63,80.41,99.95,48.07,63.42,53.64,79.25,77.66,49.89,50.39,73.15,29.87,stable
ITH3,IT,Veneto,58.66,25.67,71.6,61.29,44.72,79.38,91.07,48.07,63.42,52.02,72.2,58.39,46.48,50.15,73.15,18.47,stable
ITH4,IT,Friuli-Venezia Giulia,60.18,24.6,70.08,66.46,45.55,77.32,88.14,48.07,63.42,53.1,76.88,73.78,43.51,47.98,73.15,24.21,stable
ITH5,IT,Emilia-Romagna,61.86,28.09,72.51,64.55,49.64,76.29,97.57,48.07,63.42,52.61,74.96,68.28,50.71,56.37,73.15,25.01,stable
ITI1,IT,Toscana,63.15,23.7,80.66,65.63,45.67,85.57,93.32,64.53,63.42,48.56,74.1,78.56,44.65,43.08,77.57,24.78,stable
ITI2,IT,Umbria,64.04,17.71,82.51,66.61,45.74,86.6,98.23,64.53,63.42,48.4,75.88,81.26,44.52,43.92,77.57,24.47,stable
ITI3,IT,Marche,62.03,20.04,79.86,64.52,44.33,84.54,91.81,64.53,63.42,46.3,75.11,75.62,45.73,43.81,77.57,19.75,stable
ITI4,IT,Lazio,62.73,25.67,81.05,62.61,46.87,82.47,97.89,64.53,63.42,49.03,70.03,69.17,43.96,42.24,77.57,29.67,stable
LT01,LT,Sostinės regionas,61.92,23.97,73.56,58.41,54.58,68.04,95.44,59.49,58.04,62.56,41.04,74.6,48.84,62.18,59.5,48.48,stable
LT02,LT,Vidurio ir vakarų Lietuvos regionas,45.27,9.39,51.04,51.65,34.28,68.04,97.15,11.07,58.04,44.08,34.17,74.74,46.03,47.09,21.98,25.85,vulnerable
LU00,LU,Luxembourg,66.99,98.57,79.2,70.05,53.08,68.04,93.05,77.49,52.35,66.36,82.66,81.1,55.55,54.27,51.19,51.39,affluent
LV00,LV,Latvija,65.95,10.82,73.63,65.82,58.82,72.16,86.47,63.19,69.07,74.69,52.66,67.93,61.1,68.59,87.42,27.35,emerging
MT00,MT,Malta,64.81,21.74,77.37,63.2,54.83,59.79,100.0,74.92,39.62,60.7,78.94,77.94,50.36,71.95,81.38,25.18,stable
NL11,NL,Groningen,76.25,41.5,82.08,78.29,68.69,78.35,100.0,69.34,77.22,88.19,81.65,66.88,55.47,68.38,75.31,76.67,prosperous
NL12,NL,Friesland (NL),72.12,27.1,79.93,77.78,59.55,72.16,100.0,69.34,77.22,86.37,83.16,65.23,62.3,68.56,75.31,36.21,stable
NL13,NL,Drenthe,72.83,25.4,77.36,81.21,60.77,64.95,100.0,69.34,77.22,87.71,81.23,78.88,64.37,68.24,75.31,38.68,stable
NL21,NL,Overijssel,73.96,32.74,76.84,80.21,65.25,60.82,100.0,72.24,77.22,91.9,80.43,71.93,62.54,72.01,81.15,47.72,prosperous
NL22,NL,Gelderland,76.29,32.65,77.23,80.31,71.46,61.86,100.0,72.24,77.22,91.54,81.16,71.96,75.46,73.03,81.15,57.35,prosperous
NL23,NL,Flevoland,72.52,27.55,73.68,80.88,63.54,52.58,100.0,72.24,77.22,91.01,82.81,73.03,64.59,73.26,81.15,39.46,stable
NL31,NL,Utrecht,75.75,51.43,68.86,80.22,78.42,68.04,100.0,44.16,77.22,92.79,84.02,67.89,76.25,76.32,82.95,78.24,prosperous
NL32,NL,Noord-Holland,74.05,54.56,67.81,79.18,75.39,64.95,100.0,44.16,77.22,91.97,83.74,65.05,75.18,77.28,82.95,66.62,prosperous
NL33,NL,Zuid-Holland,72.87,39.45,67.46,79.47,71.92,63.92,100.0,44.16,77.22,91.52,82.92,67.21,68.78,75.65,82.95,61.19,prosperous
NL34,NL,Zeeland,71.52,33.45,69.88,83.28,62.17,71.13,100.0,44.16,77.22,92.93,84.17,79.24,62.74,74.23,82.95,34.76,prosperous
NL41,NL,Noord-Brabant,75.24,41.5,78.74,81.3,66.14,70.1,100.0,68.02,77.22,90.66,82.28,75.46,61.97,73.46,83.91,47.99,prosperous
NL42,NL,Limburg (NL),74.58,35.51,76.61,81.9,65.7,67.01,96.51,68.02,77.22,90.2,81.34,79.13,61.89,72.7,83.91,47.19,prosperous
PL21,PL,Małopolskie,54.04,6.17,75.63,46.68,42.57,69.07,84.45,73.78,89.53,44.41,47.16,18.81,36.03,56.69,48.36,31.5,emerging
PL22,PL,Śląskie,50.7,8.68,67.16,45.54,41.19,54.64,74.02,73.78,89.53,44.41,39.52,20.97,45.86,54.21,48.36,20.99,emerging
PL41,PL,Wielkopolskie,50.52,8.77,60.47,51.28,40.77,60.82,72.7,49.04,89.53,37.45,46.11,39.33,46.15,59.47,44.77,18.87,emerging
PL42,PL,Zachodniopomorskie,52.2,5.1,66.71,53.86,38.06,61.86,92.84,49.04,89.53,37.45,50.76,44.21,38.12,54.52,44.77,19.62,emerging
PL43,PL,Lubuskie,52.53,5.1,68.7,54.17,37.14,67.01,93.64,49.04,89.53,37.45,47.18,48.85,43.66,56.11,44.77,12.87,emerging
PL51,PL,Dolnośląskie,52.13,9.75,70.4,54.71,34.5,53.61,95.06,65.6,89.53,45.47,49.66,40.11,25.34,51.12,35.48,28.66,emerging
PL52,PL,Opolskie,47.69,4.65,67.96,50.93,28.48,58.76,80.4,65.6,89.53,45.47,51.17,26.91,19.53,48.02,35.48,16.33,emerging
PL61,PL,Kujawsko-pomorskie,49.02,5.1,57.46,52.83,37.9,42.27,76.69,55.99,89.53,40.96,44.72,42.57,29.08,56.07,51.4,20.92,emerging
PL62,PL,Warmińsko-mazurskie,50.62,3.13,62.19,54.43,36.98,50.52,82.22,55.99,89.53,40.96,49.15,44.08,34.07,53.9,51.4,15.82,emerging
PL63,PL,Pomorskie,55.25,7.87,67.95,56.56,42.72,57.73,93.1,55.99,89.53,40.96,49.4,51.74,39.23,56.85,51.4,26.76,emerging
PL71,PL,Łódzkie,47.91,6.98,76.81,39.85,32.36,62.89,82.55,86.05,89.53,33.19,34.5,17.26,37.18,46.57,32.16,17.31,emerging
PL72,PL,Świętokrzyskie,48.04,3.22,82.7,42.0,27.24,73.2,89.31,86.05,89.53,33.19,36.66,21.57,20.7,46.22,32.16,14.87,emerging
PL81,PL,Lubelskie,52.69,2.95,78.01,49.26,35.12,52.58,94.4,90.83,89.53,38.67,46.26,31.27,36.85,56.01,30.59,21.33,emerging
PL82,PL,Podkarpackie,51.88,2.95,79.58,47.21,33.83,57.73,92.8,90.83,89.53,38.67,49.24,22.9,39.84,55.89,30.59,15.58,emerging
PL84,PL,Podlaskie,53.12,3.85,78.73,49.07,35.85,51.55,98.17,90.83,89.53,38.67,54.01,24.89,36.5,56.35,30.59,23.74,emerging
PL91,PL,Warszawski stołeczny,56.21,23.88,75.29,46.68,48.77,65.98,97.11,64.87,89.53,47.11,46.4,17.56,36.58,61.3,49.64,49.17,stable
PL92,PL,Mazowiecki regionalny,52.64,6.62,73.78,49.31,37.88,62.89,95.73,64.87,89.53,47.11,44.92,25.61,39.92,56.6,49.64,13.93,emerging
PT11,PT,Norte,66.24,10.38,67.6,72.2,59.24,78.35,55.73,69.72,70.84,59.08,79.31,80.62,60.12,70.64,85.34,29.05,emerging
PT15,PT,Algarve,71.32,16.37,87.14,75.37,53.57,82.47,98.2,81.25,70.84,59.89,76.99,95.99,50.32,65.73,83.88,24.18,stable
PT16,PT,Centro (PT),62.39,10.47,56.69,72.74,58.33,76.29,37.05,60.31,70.84,57.55,79.01,85.08,55.82,68.64,82.46,32.64,emerging
PT17,PT,Área Metropolitana de Lisboa,69.83,19.68,73.01,73.38,63.35,70.1,86.3,63.54,70.84,66.39,72.56,84.29,60.79,66.27,88.08,42.43,stable
PT18,PT,Alentejo,63.97,11.81,66.6,74.37,51.98,80.41,44.7,77.95,70.84,57.76,79.05,91.9,53.18,62.21,82.98,20.69,emerging
PT20,PT,Região Autónoma dos Açores,55.21,11.27,51.54,66.7,48.24,75.26,20.71,69.08,70.84,53.27,58.77,86.25,55.84,53.12,90.81,12.19,emerging
PT30,PT,Região Autónoma da Madeira,56.0,13.6,45.88,72.43,51.36,64.95,10.11,82.49,70.84,61.34,74.86,83.58,55.38,62.82,86.07,16.16,emerging
RO11,RO,Nord-Vest,39.14,4.74,54.13,30.65,34.51,40.21,60.48,63.28,8.69,30.97,30.16,66.29,28.05,64.83,44.92,11.89,vulnerable
RO12,RO,Centru,38.46,5.01,57.89,32.98,27.61,36.08,52.6,91.5,8.69,28.01,41.88,68.24,26.19,47.26,43.36,5.96,vulnerable
RO21,RO,Nord-Est,33.21,0.54,50.21,28.18,23.94,41.24,50.39,59.85,8.69,16.45,39.22,63.48,26.32,59.17,16.23,7.41,vulnerable
RO22,RO,Sud-Est,36.31,3.04,56.18,30.67,25.43,36.08,60.03,76.25,8.69,17.15,43.66,71.5,30.0,49.17,27.39,5.99,vulnerable
RO31,RO,Sud-Muntenia,30.35,2.5,41.19,25.6,25.51,49.48,27.38,48.82,8.69,12.55,33.26,63.69,26.39,53.17,31.08,4.83,vulnerable
RO32,RO,Bucureşti-Ilfov,46.79,23.88,63.3,33.49,45.95,74.23,59.12,57.2,8.69,36.09,44.16,56.95,25.7,69.0,62.86,33.77,emerging
RO41,RO,Sud-Vest Oltenia,31.98,2.5,45.02,28.19,24.46,37.11,29.27,74.42,8.69,24.76,33.1,57.18,27.13,49.2,27.89,5.2,vulnerable
RO42,RO,Vest,39.33,6.26,63.18,29.31,29.71,51.55,61.69,77.65,8.69,19.3,37.76,66.77,32.99,60.03,32.41,6.85,vulnerable
SE11,SE,Stockholm,84.63,56.62,85.53,85.09,83.27,84.54,100.0,73.11,77.76,88.74,92.95,81.33,83.75,72.86,94.35,82.83,prosperous
SE12,SE,Östra Mellansverige,83.36,33.81,83.07,87.16,79.94,77.32,100.0,73.11,77.76,88.91,91.91,90.41,84.76,72.03,94.35,69.83,prosperous
SE21,SE,Småland med öarna,79.16,33.63,78.09,86.39,73.27,74.23,100.0,62.33,77.76,86.36,93.98,87.86,83.85,71.03,88.67,52.37,prosperous
SE22,SE,Sydsverige,79.4,33.09,80.17,82.09,76.0,80.41,100.0,62.33,77.76,88.61,92.2,70.71,76.23,72.11,88.67,67.75,prosperous
SE23,SE,Västsverige,80.9,38.73,80.86,84.21,77.69,82.47,100.0,62.33,77.76,88.27,92.78,78.53,82.54,71.25,88.67,69.13,prosperous
SE31,SE,Norra Mellansverige,79.75,32.02,83.65,85.98,70.09,79.38,100.0,72.73,77.76,85.13,89.31,92.07,75.39,65.49,95.02,48.51,prosperous
SE32,SE,Mellersta Norrland,81.07,36.05,86.76,85.14,71.75,88.66,100.0,72.73,77.76,86.27,88.12,88.65,79.21,65.76,95.02,50.75,prosperous
SE33,SE,Övre Norrland,81.79,44.01,83.29,85.27,76.93,78.35,100.0,72.73,77.76,83.37,90.83,89.44,80.08,66.03,95.02,68.24,prosperous
SI03,SI,Vzhodna Slovenija,64.23,11.99,78.29,63.78,51.97,79.38,79.61,75.91,81.76,52.61,70.28,52.81,49.38,73.2,54.52,34.45,emerging
SI04,SI,Zahodna Slovenija,64.92,21.65,60.07,71.11,63.82,83.51,50.32,49.27,81.76,57.55,73.62,72.62,52.5,76.72,73.03,54.83,stable
SK01,SK,Bratislavský kraj,61.92,29.16,87.09,58.08,44.26,79.38,96.3,85.99,52.49,63.42,60.93,55.78,32.09,65.02,29.53,55.47,stable
SK02,SK,Západné Slovensko,44.73,8.77,60.63,50.43,26.8,64.95,79.24,40.94,52.49,43.13,54.44,52.06,23.8,51.12,19.33,18.33,vulnerable
SK03,SK,Stredné Slovensko,44.54,7.51,63.1,49.91,25.14,58.76,76.72,54.85,52.49,52.79,47.05,47.44,20.97,43.31,20.99,18.62,vulnerable
SK04,SK,Východné Slovensko,43.73,5.46,51.75,50.14,30.96,16.49,86.12,67.89,52.49,52.18,52.09,44.08,33.26,40.84,30.65,20.83,vulnerable
